Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
681,Professional developer,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,Computer programming or Web development,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Privately-held limited company, not in startup mode",15 to 16 years,10 to 11 years,NA,Web developer; Database administrator; Systems administrator,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Monster; Reed.co.uk; Total_Jobs,I was just giving it a regular update,A tech-specific job board,Important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,NA,NA,Tabs,Somewhat important,Industry certification; Self-taught; Open source contributions,Non-Stack online communities; Company internal community,NA,Get a job as a QA tester; Conferences/meet-ups,8:00 AM,C#; JavaScript; PHP; SQL,C#; JavaScript; SQL; TypeScript,AngularJS,AngularJS; Node.js; .NET Core,SQL Server; MySQL,Redis; SQL Server; MySQL,Microsoft Azure,Amazon Web Services (AWS); Microsoft Azure,Notepad++; Visual Studio,Turn on some music,Agile; Scrum; Pair,Subversion,Multiple times a day,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Disagree,Customer satisfaction; On time/in budget,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Somewhat satisfied,A lot of influence,A lot of influence,A lot of influence,A lot of influence,Some influence,Some influence,A lot of influence,A lot of influence,A lot of influence,Some influence,Some influence,"I've visited Stack Overflow, but haven't logged in/created an account",10,Desktop; iOS browser,Several times,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,"Some college/university study, no bachelor's degree",White or of European descent,Somewhat agree,Somewhat agree,Disagree,Agree,NA,NA
682,Professional developer,No,Belgium,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,20 to 99 employees,Venture-funded startup,4 to 5 years,2 to 3 years,NA,Web developer,Back-end Web developer,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Strongly disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn; Monster,A recruiter contacted me,A career fair or on-campus recruiting event,Somewhat important,Important,Very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,Euros (€),Neither underpaid nor overpaid,Spaces,Not very important,Online course; Part-time/evening course; On-the-job training; Hackathon; Open source contributions,NA,NA,Contribute to open source; Bootcamp; Part-time/evening courses; Buy books and work through the exercises,10:00 AM,Java; SQL,Go; Java; SQL,NA,NA,PostgreSQL,Cassandra; PostgreSQL,Linux Desktop,Linux Desktop,Sublime Text; Eclipse; IntelliJ,Something else,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Some influence,Some influence,No influence at all,Not much influence,Not much influence,No influence at all,Some influence,No influence at all,No influence at all,No influence at all,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Several times,Haven't done at all,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Male,A master's degree,White or of European descent,Somewhat agree,Agree,Disagree,Disagree,23225.8064516129,NA
683,Professional developer,"Yes, both",United States,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,Publicly-traded corporation,20 or more years,8 to 9 years,NA,Embedded applications/devices developer; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator; DevOps specialist,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",5,Between 1 and 2 years ago,Somewhat important,Important,Important,Somewhat important,Important,Somewhat important,Important,Very important,Very important,Not very important,Important,Very important,Somewhat important,Important,Very important,Retirement; Annual bonus; Vacation/days off; Health benefits; Education sponsorship,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Neither underpaid nor overpaid,Spaces,Important,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Friends network,NA,Take online courses; Contribute to open source; Participate in online coding competitions; Buy books and work through the exercises,9:00 AM,C; C++; Python; R,C; C++; Go; Java; Matlab; Python; R,NA,Hadoop,NA,NA,Linux Desktop; Raspberry Pi,Linux Desktop; Raspberry Pi; Amazon Web Services (AWS),Atom; Notepad++; Vim; Eclipse; RStudio,Turn on some music,Waterfall; Agile; Scrum; Extreme; Pair; Kanban; Evidence-based SWE,Git,Once a day,Disagree,Agree,Somewhat agree,Disagree,Strongly agree,Disagree,Agree,Customer satisfaction; Benchmarked product performance; Manager's rating; Peers' rating; Self-rating,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Some influence,Not much influence,No influence at all,No influence at all,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android browser,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Strongly disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Male,High school,White or of European descent,Disagree,Disagree,Disagree,Agree,95e3,NA
684,Student,"Yes, I program as a hobby",United States,"Yes, full-time",Employed part-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,I prefer not to answer,3 to 4 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"A friend, family member, or former colleague told me",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),NA,Spaces,NA,Self-taught,Official documentation; Stack Overflow Q&A; Friends network; Built-in help,NA,Contribute to open source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Git,A few times a week,Disagree,Somewhat agree,NA,Somewhat agree,Strongly agree,Disagree,NA,NA,Not at all satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Not very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,None of these,"Yes, I program as a hobby",United States,No,"Not employed, and not looking for work",I prefer not to answer,NA,NA,NA,NA,7 to 8 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am not interested in new job opportunities,NA,Not applicable/ never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Expected work hours; Meals,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,NA,Self-taught,Other,NA,None of these,NA,C; Java; JavaScript; PHP; SQL,C; Java; JavaScript; Perl; Python; SQL,NA,NA,NA,NA,Mac OS,Mac OS,Eclipse,Keep the room absolutely quiet,NA,I don't use version control,NA,Agree,NA,NA,Agree,Strongly agree,NA,NA,Customer satisfaction; Benchmarked product performance; Peers' rating,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS browser,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Several times,At least once each week,NA,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Male,NA,White or of European descent,NA,Agree,Disagree,Somewhat agree,NA,NA
686,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,14 to 15 years,10 to 11 years,NA,Web developer; Embedded applications/devices developer; Desktop applications developer,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,A friend told me about a job opportunity,"A friend, family member, or former colleague told me",Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Important,Not very important,Not very important,Not at all important,Somewhat important,NA,NA,Spaces,Important,Online course; Self-taught,Official documentation; Stack Overflow Q&A; Non-Stack online communities,NA,NA,7:00 AM,C; JavaScript,C#; F#; TypeScript,Node.js; React,Node.js; .NET Core,NA,NA,NA,NA,Sublime Text; Visual Studio; Visual Studio Code,Turn on some music,Waterfall; Agile; Scrum; Pair; Kanban; Domain-driven design,Subversion,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Disagree,Agree,Hours worked; Peers' rating,Somewhat satisfied,Satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A lot of influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,A lot of influence,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Male,NA,NA,NA,NA,NA,NA,NA,NA
687,Professional developer,"Yes, both",Poland,No,Employed full-time,I prefer not to answer,NA,A few days each month,20 to 99 employees,Publicly-traded corporation,13 to 14 years,9 to 10 years,NA,Web developer,Back-end Web developer,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",0,More than 4 years ago,Not very important,Not very important,Important,Not very important,Important,Very important,Important,Important,Important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Not very important,Professional development sponsorship,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polish zloty (zl),Somewhat underpaid,Both,Important,Online course; Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,Official documentation; Textbook; Stack Overflow Q&A; Non-Stack online communities; Friends network; Other,NA,Take online courses; Contribute to open source; Conferences/meet-ups; Other,8:00 AM,C#; JavaScript; SQL,F#; Go; Rust,.NET Core,NA,SQL Server,Redis; PostgreSQL,NA,Amazon Web Services (AWS); Microsoft Azure,Notepad++; Visual Studio; Visual Studio Code,Something else,Waterfall; Agile; Pair; Evidence-based SWE,Team Foundation Server,Multiple times a day,Somewhat agree,Disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,Benchmarked product performance; Revenue performance; Peers' rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not much influence,No influence at all,No influence at all,Not much influence,A lot of influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; iOS browser,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Strongly disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Male,A bachelor's degree,White or of European descent,Disagree,Strongly agree,Disagree,Strongly agree,3456.79012345679,NA
688,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",I prefer not to say,No,Employed full-time,Doctoral degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,20 or more years,17 to 18 years,NA,NA,NA,NA,Other,7,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Strongly agree,Disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Agree,Agree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",1,More than 4 years ago,Somewhat important,Important,Important,Very important,Important,Very important,Very important,Important,Very important,Important,Important,Very important,Not very important,Somewhat important,Important,Vacation/days off; Equipment; Professional development sponsorship; Expected work hours; Remote options,Yes,NA,NA,"A friend, family member, or former colleague told me",Very important,Somewhat important,Very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Very important,Important,Very important,NA,NA,Spaces,NA,Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,None of these,10:00 AM,Erlang; JavaScript; Scala,C; Erlang; Rust; Scala,AngularJS; Node.js; Spark,NA,MongoDB,NA,Linux Desktop,NA,Notepad++; Vim,Keep the room absolutely quiet,Agile; Pair,Git,Multiple times a day,Strongly disagree,Somewhat agree,Strongly agree,Agree,Agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I've visited Stack Overflow, but haven't logged in/created an account",9,Desktop,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat agree,Disagree,Somewhat agree,NA,NA
689,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Master's degree,Mathematics or statistics,A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,3 to 4 years,NA,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,"I'm not actively looking, but I am open to new opportunities",2,Between 1 and 2 years ago,Important,Somewhat important,Not very important,Very important,Important,Important,Somewhat important,Somewhat important,Important,Important,Not very important,Very important,Not very important,Somewhat important,Not very important,Health benefits; Equipment; Professional development sponsorship; Expected work hours; Remote options,No,Indeed; LinkedIn,I was just giving it a regular update,An external recruiter or headhunter,Very important,Somewhat important,Very important,Not very important,Not very important,Not very important,Not at all important,Not very important,Not at all important,Very important,U.S. dollars ($),Neither underpaid nor overpaid,Spaces,NA,NA,NA,NA,NA,6:00 AM,C#; JavaScript; Python; TypeScript,C; C#; JavaScript; Lua; Python,AngularJS; Node.js,Node.js; .NET Core,MySQL; SQLite,PostgreSQL,Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS),Windows Desktop; Linux Desktop; Arduino; Raspberry Pi; Amazon Web Services (AWS),Notepad++; Sublime Text; Vim; PyCharm; Visual Studio; Visual Studio Code,Turn on some music,Agile; Extreme; Pair; Kanban,Git,Multiple times a day,Disagree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Disagree,Agree,On time/in budget,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android browser,Once or twice,Haven't done at all,Once or twice,Once or twice,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Male,A bachelor's degree,White or of European descent,Disagree,Somewhat agree,Strongly disagree,Strongly agree,11e4,NA
690,Professional developer,"Yes, both",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",12 to 13 years,12 to 13 years,NA,Web developer,Full stack Web developer,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",0,More than 4 years ago,Important,Important,Important,Very important,Very important,Important,Important,Somewhat important,Important,Not very important,Very important,Somewhat important,Important,Very important,Very important,Vacation/days off; Health benefits; Expected work hours,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Somewhat overpaid,Tabs,Very important,Online course; Industry certification; Self-taught; Coding competition; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,Take online courses; Participate in online coding competitions; Buy books and work through the exercises; Other,11:00 AM,Go; JavaScript; PHP; SQL,Go; JavaScript; PHP; Rust; SQL; Swift,React,React,Redis; MySQL,Redis; MySQL; PostgreSQL,WordPress; Amazon Web Services (AWS),iOS; Amazon Web Services (AWS),Sublime Text,Put on a movie or TV show,Agile; Lean; Extreme,Git,Multiple times a day,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Agree,Release frequency; Benchmarked product performance; On time/in budget; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS browser,Several times,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Disagree,Agree,Disagree,Strongly agree,85e3,NA
691,Professional developer,No,United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",8 to 9 years,4 to 5 years,NA,Web developer; Desktop applications developer,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,"I'm not actively looking, but I am open to new opportunities",NA,Between 1 and 2 years ago,Not very important,Somewhat important,Important,Not very important,Important,Somewhat important,Important,Important,Important,Not very important,Important,Not very important,Not very important,Not very important,Important,Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Somewhat underpaid,Tabs,NA,NA,NA,NA,NA,7:00 AM,C#; JavaScript; SQL; VB.NET,C#; JavaScript; SQL,React; .NET Core,Xamarin; .NET Core,SQL Server,SQL Server,Windows Desktop; Microsoft Azure,Android; iOS; Windows Desktop; Microsoft Azure,Notepad++; Visual Studio,Turn on some music,Agile; Scrum; Pair,Git,A few times a week,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating; Peers' rating,Very satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Satisfied,A lot of influence,Not much influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; iOS browser,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Disagree,Male,A bachelor's degree,White or of European descent,Agree,Somewhat agree,Disagree,Strongly agree,62e3,NA
692,Professional developer,"Yes, I program as a hobby",Italy,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",17 to 18 years,13 to 14 years,NA,Web developer,Full stack Web developer,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat agree,I am not interested in new job opportunities,NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Health benefits; Professional development sponsorship; Expected work hours; Remote options,Yes,Indeed; LinkedIn; Monster,A recruiter contacted me,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Euros (€),Greatly underpaid,Spaces,NA,NA,NA,NA,NA,8:00 AM,JavaScript; PHP; SQL,Haskell; JavaScript; Python; Scala,NA,AngularJS; Node.js; React,MySQL,Cassandra; Redis,Linux Desktop; Mac OS,Arduino; Raspberry Pi,Atom; Notepad++; Sublime Text; TextMate; Vim; PHPStorm,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not very satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Some influence,Some influence,A lot of influence,A lot of influence,A lot of influence,Some influence,A lot of influence,A lot of influence,Not much influence,Not much influence,Some influence,I have created a CV or Developer Story on Stack Overflow,7,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Male,NA,White or of European descent,Disagree,Agree,Disagree,Agree,43010.752688172,NA
693,Professional developer,No,Brazil,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees","Sole proprietorship or partnership, not in startup mode",9 to 10 years,2 to 3 years,NA,Web developer,Back-end Web developer,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,I was just giving it a regular update,A career fair or on-campus recruiting event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazilian reais (R$),Greatly underpaid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8881.52866242038,NA
